Address,Bedrooms,Bathrooms,Last Update,Tenancy period,Viewed,Rated by,Rating,Subratings,author_name,author_role,comment_body,comment_time,Rent
Flat 68 26 High Street Slough,1,1,Oct 01 2016,Oct 2011 - Jun 2012,665 times,pastrenter,6.6/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '0', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': '1'}",,,,,£0
27A Westbourne Road Sunderland,0,0,Aug 21 2015,Jun 2014 - Jun 2015,871 times,bexbryony,5.4/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0.3', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '1'}",,,,,£0
374 Lees Hall Road Dewsbury,2,1,Jun 07 2016,Nov 2011 - Jun 2016,76 times,melb82,4.8/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '0', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0', 'Energy Bills': '0.5', 'Landlord/Agents': '0', 'Deposit refund': ''}",MelB82,Tenant,No central heating or shower,07-06-2016 05:50 PM,£0
280 Archway Road London N6,3,1,Sep 02 2016,Jul 2015 - Jun 2016,85 times,selasi2016,5.2/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£0
The Comedy 7 Oxendon Street London SW1Y,0,0,Aug 20 2015,Aug 2012 - Aug 2015,136 times,Brusinchix,4.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0', 'Rodents/Insects': '0', 'Induction': '0.5', 'Parking': '', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': ''}",,,,,£0
113 Pelham Road London SW19,2,1,Feb 23 2017,Aug 2015 - Feb 2017,311 times,kchornik,6.0/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': '1'}",,,,,£1450
13 York Avenue Slough,0,0,Jun 06 2015,Jan 2013 - Sep 2014,9 times,Diby1234,9.1/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£0
Flat 6 Minus One House Lyttelton Road London E10,2,1,Nov 14 2017,Aug 2017 - Nov 2017,1991 times,lustykenadee,0.3/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0', 'Rodents/Insects': '-2', 'Induction': '0', 'Parking': '0', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': '0'}",LustyKenadee,Tenant,"Worst experience in my life. The flat is as cold as outside, I\'ve never felt so freezing cold in a property, it\'s 2017 and we live in despicable conditions.
The sliding doors leading to the balcony are older than I even am and they\'re so drafty it\'s freezing all the time, even with sealant on the doors it doesn\'t help. The landlord refused to fix the problem and told us we were \""welcome to leave if we\'re not happy\"" and is still making us pay agents fees. He should never be a landlord. We have a young baby who has been ill twice since last August and the landlord has complete disregard for our health and safety. But apparently we can\'t do anything against him. Disgraceful.",14-11-2017 04:15 AM,£1500
"Apartment 101
1 Jordan Street
MANCHESTER
M15 4QX
UNITED KINGDOM",2,2,Oct 11 2021,Dec 2016 - Dec 2017,204 times,obionekenobi,5.1/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '0', 'Induction': '0.5', 'Parking': '0.3', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': '0'}",,,,,£1200
"Flat 6
Wordsworth Court
384 West End Road
RUISLIP
HA4 6RB
UNITED KINGDOM",2,2,Aug 24 2020,Aug 2019 - Aug 2020,17 times,gwtreka,4.0/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0', 'Brightness': '0.35', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",Gwtreka,Tenant,"Very difficult landlord. We had a gas leak for more than 2 weeks because her trusted gas person \""couldn\'t smell it\"" when he came around.
We stayed a week without gas as her personal gas person was not available after the gas company cut the gas due to a gas leak....

Toilet broken for 2 weeks because the same gas person/plumber was busy.

After given notice, she wanted to send an electrician to check all worked and after making ourselves available most of the week - Monday to Thursday. She sent the same guy on Friday as that was the only day he was available. 

House might be ok if you never have to deal with the landlord. We left as we couldn\'t deal with her anymore. 

She also tried to change the contract before the end of the tenancy and we had to contact Citizens advice for this not to happen. 

Avoid.",24-08-2020 08:37 AM,£1225
Flat 45 Windermere House 74 Eric Street London E3,5,3,Apr 10 2016,Dec 2015 - Mar 2016,812 times,the_tenant,1.3/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0', 'Rodents/Insects': '-2', 'Induction': '0', 'Parking': '', 'Safety': '1.5', 'Traffic': '', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",The_tenant,Tenant,"It was a very bad experience. The agency, Sterling De Vere, provides really low quality service. They don\'t provide anything in the flat except the very basic basic basic stuff (if any). The apartment had a really huge problem with hot water. There\'s no hot water upstairs. And all 5 rooms had to use the bathroom in the ground floor for taking a bath.
The agency usually didn\'t respond to phone calls and took long time to respond to issues. And they took so much time to pay me back my deposit.",10-04-2016 01:21 PM,£0
Flat 26 Pilgrims Cloisters 116 Sedgmoor Place London SE5,0,1,Apr 14 2016,May 2014 - May 2016,1256 times,cecily7,-0.7/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.75', 'Rodents/Insects': '-5', 'Induction': '0.25', 'Parking': '', 'Safety': '1.5', 'Traffic': '', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",Cecily7,Tenant,"This studio flat is very liveable and has some great features, in particular the wonderful courtyard garden due to which the flat is peaceful and quiet. The space is comfortable and convenient for one person - it would be cramped for two, and storage space is very limited. Issues have been minor but the landlord is not willing to do any upkeep on the flat so there are blocked plugs, cupboards that don\'t shut, a broken light switch (though I got this fixed privately) etc. There is also a persistent damp/musty smell that can\'t be cleaned out. I\'d recommend figuring out what\'s wrong before you move in and asking that it\'s fixed beforehand. On the other hand, these issues are quite minor and the contractor taking care of the building is great, so bigger issues like the building plumbing get sorted out quickly.",01-05-2016 04:26 AM,£950
43 Greenland Avenue Wymondham,4,2,Nov 13 2017,Jun 2016 - Aug 2017,192 times,bakers,-1.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0', 'Brightness': '0', 'Noise Levels': '0', 'Rodents/Insects': '-5', 'Induction': '0', 'Parking': '0', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",Bakers,Tenant,"When we moved into the property, the property management company didn\'t give us the itinerary for the property for 10 days. We found major issues with ripped flooring and severe limescale problems which we reported, as they didn\'t appear on the condition report. These still weren\'t added and the Landlord even tried to charge us over £500.00 for these issues at the end of the tenancy! Luckily we had kept the written proof that we had reported these for the deposit protection company. We paid a lot extra for the deposit as we have a pet cat and didn\'t have an issue with this, as our cat is clean and uses a litter tray indoors. After the tenancy, we were charged for pet urine (not even cat) on the carpet, which is a stain that was there when we moved in, we also lost lots of deposit money for the redecoration of the property, which was already tired looking when we moved in and was left in exactly the same condition. We reported a dangerous loft hatch which wasn\'t fixed properly and kept falling down, we were advised that the landlord would have their handyman repair it, but this never happened.I would just recommend to any tenant wishing to take on this property, definitely take your own photos when you move in, and take departure photos too, otherwise you could lose most of your deposit.",13-11-2017 01:50 PM,£900
14 Compton Road London SW19,0,0,May 03 2015,Jul 2013 - Jul 2016,72 times,Dccsweeney,9.1/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£0
111 Botany Road Walsall,0,0,Aug 31 2015,Aug 2013 - Aug 2014,10 times,rhiannon,6.3/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0', 'Brightness': '0.35', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '0.3', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': '1'}",,,,,£0
15 Tylers Court Vicars Bridge Close Wembley,2,1,Oct 04 2016,Feb 2012 - May 2014,16 times,santosh,9.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£1200
289 Harborne Lane Harborne Birmingham,4,1,Oct 28 2017,Jun 2016 - Aug 2017,181 times,jessica-lovett,5.0/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.25', 'Rodents/Insects': '0', 'Induction': '0.5', 'Parking': '0.3', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.5', 'Landlord/Agents': '0.5', 'Deposit refund': '1'}",Jessica Lovett,Tenant,"Great value for money, bills included, flexible contract and no deposit. Some of the things in the house are just very old and there is a little bit of mould here and there.",28-10-2017 03:41 PM,£0
41 Gatewick Close Slough,0,0,Jun 06 2015,Apr 2012 - Apr 2013,221 times,satyaprakash,-0.1/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0', 'Rodents/Insects': '-2', 'Induction': '0', 'Parking': '0', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£0
Apartment 502 Cordage House 15 Cobblestone Square London E1W,0,0,Feb 17 2016,May 2014 - Feb 2016,133 times,emagreco,6.1/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.75', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': ''}",,,,,£0
63 Listria Park London N16,4,2,Sep 03 2016,Sep 2013 - Sep 2016,782 times,joefromlondon,4.9/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0.25', 'Rodents/Insects': '-2', 'Induction': '0.25', 'Parking': '0.3', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': '1'}",JoefromLondon,Tenant,"The house is very small, one very small room, barely even a single room to be honest. Plus the house feels like it\'s made out of cardboard, the floors creek from my flatmate walking in his room above me, It\'s sometime unbearable, especially when there are two people in the room walking around. I can hear another flat mate from two floors above through the wall that\'s next to my bed. The Estate Agents that deal with the house are also the most infuriating people I have ever dealt with as well, and charge an extortionate amount of money every year just so you can continue living in the house.",03-09-2016 01:08 PM,£2773
16 Blossom Close Darlington,0,0,Apr 20 2015,Jun 2013 - May 2015,62 times,JWPalliser,9.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£0
Flat 1 Padstone House Capulet Square London E3,1,1,Jun 16 2017,Jan 2017 - Jan 2018,1939 times,jaroslava-radina,8.4/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': '1'}",,,,,£1200
"Flat 6
Highbridge Court
Farrow Lane
LONDON
SE14 5EB
UNITED KINGDOM",1,1,Jul 17 2019,Aug 2015 - Aug 2017,498 times,cwic507,-0.5/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.25', 'Rodents/Insects': '-2', 'Induction': '0', 'Parking': '0.3', 'Safety': '0', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",CWIC507,Tenant,"Possibly the worst property I’ve ever rented – I would have moved out sooner but could not afford tenancy fees and moving costs and as such was stuck in the property for longer than I had planned. 

On first inspection, the property appeared nice, clean and in good working order. It was not until we had our first check-in that litany of issues with the apartment became apparent. Most of the light fixtures did not work, the taps were non-functioning, the toilet was blocked, the heating did not work, the fridge and oven were broken, the storage spaces were filled with junk (mostly broken furniture, building materials and old, Urdu-language VHS tapes!), the electricity was on a key-meter and this had not been topped up (meaning the inspection was done in the dark), the locks were broken on the front door, several electricity sockets were non-functioning, even the furniture that was provided was dirty and damaged, but had been cleverly presented in a way that meant this was not obvious until closer inspection. As we had moved down from Manchester to move into this property we had arrived late on a Saturday afternoon and the letting agents, Winkworth New Cross, were finishing for the day by this point. When I called them and told them about all of these issues they were reluctant to do anything until Monday morning and it took a significant amount of arguing to get them to agree to send out an emergency repairman (I believe it was when I pointed out that I would not be able to go to the bathroom that they finally acquiesced). To top it all off, after the first night we awoke completely covered in bed-bug bites! 

First thing on Monday I presented to Winkworth’s office with an extensive list of issues that required fixing. They acted sympathetic and promised to get everything sorted but it took the best part of a month before all of the issues were resolved (at least they agreed to replace the bed and have the place fumigated as soon as possible!)

Sadly, this experience set the tone for the rest of the tenancy and we experienced various issues throughout our stay. Mould quickly built up around the windows despite them being left open (it did not help that the seals on the double glazing had perished on nearly every single window, thus allowing damp to accumulate in and around them). Winkworth were quick to blame us for this but on closer inspection I found evidence that mould had been present in the property for a while and the previous tenant (or Winkworth) had simply painted over it. The heating system was an electric boiler which, aside from being highly inefficient and expensive, broken down every few weeks – the landlord refused to replace it and instead had every single part of it replaced using second-had parts (sadly this made for a lot of cold showers in the winter). One month after moving in, the wall-mounted shelves that the landlord had provided fell off the wall, destroying everything that was on or under them. The agents were quick to send the repairman out on this occasion to remove them and fix the holes they had left in the wall and, on inspection, he asserted that these were ‘not weight-bearing shelves’ as the wall was too soft to support such weight. 

Eventually the landlord tired of having to pay for these various repairs and, cleverly, told the agents that repairs could only be carried out with his permission and then began ignoring their attempts to contact him. 

The building itself was an odd, 50/50 mix of perfectly nice people and anti-social reprobates which meant we were frequently disturbed by loud parties, domestic disputes and the occasional police raid. In fairness, the company managing the property were fairly helpful in dealing with anti-social tenants but as soon as such one group was evicted another would take their place. The neighbourhood was of a similar character and their would often be incidents of petty crime, anti-social behaviour and even gang-fights and fatal stabbings in the immediate vicinity. Indeed, I was once woken up at 4am on a Tuesday by the sound of 6 large men having a melee immediately outside our bedroom window. 

When I finally left the property I had to spend 6 weeks arguing with Winkworth regarding the deposit. It was 14 days before they eventually replied to my enquires – I pointed out that at this point they were legally obligated to return my deposit without deductions but apparently they were unfamiliar with basic tenancy law. They demanded to know where the aforementioned, non-weight bearing shelves were – they had no record of them falling down and demanded I pay for them. They demanded to know where all the broken furniture from the storage spaces were – again, they had no record of agreeing to remove them as they were clearly beyond repair. They then insisted that the property, having now been empty for 3 weeks since I left, had become dusty and needed a full professional clean which I should pay for. Eventually, following the exchange of some very loud words and threats of litigation, they backed down and returned my deposit in full. 

To cut a very long story short – avoid this property and its agents if you can. The amount of rent they charge for a property of this type, in this neighbourhood, is exorbitant and you can get far more for your money (and live in a much nicer area) if you look slightly further away from the city centre.  

Edit: Apologies for the formatting, this site doesn\\\'t seem to allow paragraphs.",17-07-2019 06:28 AM,£1100
106 Dewsbury Road London NW10,4,2,Aug 15 2016,Oct 2012 - Apr 2013,1734 times,fionalroberts,1.0/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0', 'Noise Levels': '0.75', 'Rodents/Insects': '-5', 'Induction': '0.25', 'Parking': '', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': '0'}",Fionalroberts,Tenant,"This was an awful property to live in and the estate agent Annandvilla was a very unhelpful estate agent: 
-Both the estate agent and the landlord failed to inform us that a conservatory was to be built off the back of the downstairs bedroom, which started being built at the beginning of our 6 month let, then was left leaving the downstairs bedroom dark. and looking out onto a concrete room.
-There was an infestation on cockroaches from the beginning which still wasn\'t gone when we left.
-There was a rat on the top floor.
-The toilet was blocked then temporarily fixed then blocked again.
-It was advertised with a dishwasher which never worked.
-The washing machine broke and took 6 weeks to fix, but we were never offered money towards the launderette.

-They never gave us half our deposit back due to dirt in the sink and the inside of the oven door not being clean. They charged us for an cleaner and never showed us the bill for this.

Looking back on it I don\'t know why I didn\'t put up more of a fight, I was only 19 at the time.",15-08-2016 02:37 PM,£525
"Flat 2A
Arlington House
3 Rosslyn Road
TWICKENHAM
TW1 2AR
UNITED KINGDOM",2,2,Jan 12 2019,Aug 2017 - Jan 2019,206 times,raffaellatate,2.9/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '0', 'Induction': '0', 'Parking': '', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': ''}",Raffaellatate,Tenant,"Very old property which needs constant maintenance but the landlady dos not want to pay and the estate agents are useless  and very rude they dont even take the time to visit the property and advise the landlady on best action. What a shame 
JOHN WOOD esate is the worst",12-01-2019 07:10 PM,
Flat 1 Princes House North Street Brighton,2,2,Oct 13 2016,Feb 2016 - Aug 2016,50 times,stuntman,3.6/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '', 'Safety': '0.75', 'Traffic': '0.5', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",Stuntman,Tenant,"The managing agency (Baron Homes) is really bad, don\'t recommend at all.",13-10-2016 04:20 PM,£1600
"137 Reliance Way
OXFORD
OX4 2FW
UNITED KINGDOM",2,2,Mar 20 2021,Dec 2017 - Jan 2021,30 times,jellie2602,5.2/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0.5', 'Safety': '0', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '1'}",Jellie2602,Tenant,"Property faced the main road . Plus side lots of light in the flat. Could only slightly open one window as dust and pollution on a high level.Windows are also damaged.
Toilet broke in main bathroom LL TOOK 5 months to fix. Ensuite toilet then broke I refused to wait overnight for someone to cone out
Paint work was appalling. Patch painted before I moved in 
Nice LL but shocking standards of maintaining the property.
Sadly would not recommend.No Tenancy paperwork was handed to me No Inventory No Epc .",20-03-2021 12:28 PM,£1250
"8 Verdant Lane
LONDON
SE6 1LF
UNITED KINGDOM",6,6,Sep 05 2020,Aug 2020 - Sep 2020,21 times,james-cummings,8.9/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.3', 'Safety': '1.5', 'Traffic': '0', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£1100
89 Southey Hill Sheffield,0,0,Aug 16 2015,Jan 2012 - Jun 2013,54 times,Nicklesaurus,8.6/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': ''}",,,,,£0
17 Bainbridge Road Warsop Mansfield,0,0,Aug 01 2015,Aug 2013 - Jul 2015,577 times,Yummymummy,5.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0.5', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0.5', 'Deposit refund': ''}",,,,,£0
51 Blackthorn Avenue Tunbridge Wells,0,0,Aug 13 2015,May 2012 - Aug 2015,27 times,Jakkyjbo,9.8/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£0
27 Connaught Road Sutton,4,3,May 01 2017,Apr 2015 - Apr 2017,189 times,psingh,-1.6/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '-5', 'Induction': '0', 'Parking': '', 'Safety': '1.5', 'Traffic': '0', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': '0'}",PSingh,Tenant,"The property is an old Victorian house with major rodent problem. Some aspects of the house is new but some are very old like the crevices in the wall, hole in the toilet wall from where the surveyors thought the rodents were entering the house. The rodent menace eventually got so bad that it required deep cleaning every week. Landlady was not cooperative enough as she got the pest control to place only mouse traps, which we already did ourselves. The house needs proper pest control. There were other issues such as very old appliances like fridge (we had to buy our own to survive) , leaking washing machine which we eventually got replaced, main door lock was faulty. Also no exhaust in the bathroom. Worst landlord ever !! Don\'t rent this property please!",01-05-2017 03:21 PM,£1870
10 Gunterstone Road London W14,2,1,Apr 24 2017,Sep 2015 - Mar 2017,394 times,celial-j,3.3/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '', 'Safety': '0', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",Celial-j,Tenant,"•	In an email dated 4.10.15, the landlady said that she would inspect the flat once every 3 months with a week’s notice. Later on, she said that only 24 hours notice was necessary and that it did not have to be at a convenient time for us. She often appeared on a Saturday morning – the most inconvenient time for those that work 9-5, 5 days a week and want to enjoy their free time. Her inspections increased, at one point, to twice a week for two weeks. We cleaned the flat regularly, but she expected the flat to be absolutely spotless – i.e. not lived in. For example, she complained several times about dust on top of the doorframes and watermarks in the sink.

•	The landlady would send her brother, who lived in the building, to the flat to inspect it or if we had a problem that needed fixing. He was incredibly rude and unhelpful and not what we signed up for. On one occasion he let himself into our flat without notice. It made me feel incredibly nervous living there on my own (my housemate was away a lot), knowing that he had a key.

•	It got to the point that I was scared to be in the flat on my own. My housemate would be away for months at a time for work and I became incredibly anxious living there, knowing that she could come over with only 24hrs notice, and that her brother had a key to the flat. 
•	The tenancy agreement clearly stated that the landlord/landlady should not infringe upon the tenants ‘quiet enjoyment of the flat’ – she did. 

•	One Saturday, when the landlady came for an inspection, she was particularly aggressive towards me. She did not realise that my boyfriend was in my bedroom and, when he heard how rude she was being towards me, he politely asked her not to speak to me in that way. She immediately put her hand in his face saying ‘I am not talking to you’ and said that he could never visit the flat again. After this incident, Neda became convinced that we had other people living in the flat. 

•	When I was in the process of signing for a new flat, I was asked to give the contact details of my current landlord so that they could provide a reference. I asked the landlady’s permission to do this and she asked me to ring her. On the phone, she said that I had been an awful tenant and that, to give me a good reference would be a lie. However, she said that she also wanted me gone from the flat, and so preceded to blackmail me by saying that she would only give me a good reference if I promised to get the flat professionally cleaned after moving out. Since it had been my intention to do this anyway, I agreed. Needless to say, having said that she would give me a reference, she didn’t and ignored all phone calls and emails from Let Alliance when they tried to contact her for one. As a consequence, I had to provide my previous 6 months of bank statements to prove that I had paid my rent on time.


I paid for the flat to be professionally cleaned at the end of the tenancy. The plastic sofa had a slight rip on the seam. The DSA advised me that it was fair wear and tear as you can see where the other seam was ripping. However, the landlady said that we had to pay for a new sofa. The Tenancy Deposit Scheme clearly states that: “Landlords should therefore keep in mind that the tenant’s deposit is not to be used like an insurance policy where you might get “full replacement value” or “new for old”.”In the end she asked for £150 towards it, which we paid because, by that point we were exhausted by the back and forth arguing. 

I would be happy to provide further pictures and emails for evidence.",24-04-2017 09:52 AM,£850
"G12 9RL, 3/1 101 Clarence Drive, , Glasgow",1,1,Jun 11 2018,Oct 2017 - Jun 2018,1411 times,ginny-cooper,7.6/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.75', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.3', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",,,,,£675
